molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,10000,10.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,96883,35684,2.717670580249426,0.09813894955739473,20230501163801,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,20000,20.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98705,35885,2.753310655143147,0.10084803656916266,20230501163810,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,30000,30.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100159,35267,2.842463987189068,0.09942272164757592,20230501163821,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,40000,40.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98176,31726,3.0970782470034965,0.10343225900088206,20230501163834,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,50000,50.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98321,33956,2.898481895513239,0.11042759016244286,20230501163844,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,60000,60.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100083,34894,2.871067201056249,0.10566719562260607,20230501163901,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,70000,70.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,97669,33485,2.919618668130831,0.10992146618106081,20230501163920,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,80000,80.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,96999,32101,3.025586410560804,0.12632775385162154,20230501163939,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,90000,90.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,91620,31332,2.9277541236612192,0.1155025704102802,20230501163958,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,100000,100.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90630,30479,2.976467891712523,0.10769522494085204,20230501164015,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,110000,110.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,91415,30758,2.976650814400122,0.13353880653528102,20230501164037,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,120000,120.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90889,32766,2.777448842654829,0.11676006063156354,20230501164101,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,130000,130.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,88490,30479,2.9067940391851126,0.11739278533317747,20230501164125,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,14545.573986120742,4630.0,140000,140.0,50,<function gentle_check at 0x0000027E7A180DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90019,31180,2.890216734058872,0.11341002689202974,20230501164152,1,140025
