molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,10000,10.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17639,7291,31010,2.4200951069368566,0.056205745424555906,10026.384556178446,0.04280387092492458,20230508173256,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,20000,20.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18926,6785,32187,2.7969908283383003,0.1428374154360382,20026.37121395762,0.040129327178183814,20230508173306,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,30000,30.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19321,6573,32406,2.945086041494,0.16059692835289108,30026.373090483365,0.041490320182549556,20230508173317,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,40000,40.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19113,6590,32201,2.902981743620519,0.10827249483835769,40026.35468420632,0.04169209371890015,20230508173330,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,50000,50.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18753,6378,31261,2.946151771445211,0.15097123313492491,50026.38215434448,0.03621302046038249,20230508173343,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,60000,60.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18608,6204,31069,3.003549143133651,0.13920138938808174,60026.36048510502,0.0391464391762314,20230508173357,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,70000,70.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18017,5997,30142,3.0080511240685297,0.09044151499366714,70026.38521842049,0.04661453537699603,20230508173410,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,80000,80.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17497,5954,29369,2.93998871443062,0.09047757770802758,80026.37686675088,0.02772241715663202,20230508173426,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,90000,90.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17215,5815,28862,2.962940921533897,0.0941576965253531,90026.4010832177,0.06712229018505045,20230508173441,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,22773.40514587241,7249.0,100000,100.0,10,<function gentle_check at 0x0000026F7FBE0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,16901,5812,28306,2.910526380561329,0.08493171540790592,100026.3547899728,0.0456399547067098,20230508173458,1,100025
