molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,10000,10.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,17653,7457,31187,2.370141017678411,0.10580752188980175,10025.91369108881,0.015576715874632725,20230508173300,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,20000,20.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19663,7188,33529,2.7362838431609315,0.06734484878292993,20025.917901143017,0.028321157833441135,20230508173310,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,30000,30.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19937,6979,33765,2.8593468679805047,0.09770579351130373,30025.911857780466,0.021087318764461998,20230508173321,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,40000,40.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19682,6673,33051,2.9527312207001577,0.10165878526837012,40025.92065392473,0.02462156129121035,20230508173333,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,50000,50.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19515,6708,32822,2.9134986714259776,0.13236132411724702,50025.92303129015,0.023423037022230888,20230508173346,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,60000,60.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19311,6433,32271,3.005552149997711,0.12644039943479002,60025.8946030163,0.03040800968292974,20230508173401,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,70000,70.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19307,6546,32591,2.951777878764789,0.10253385775209702,70025.91791139555,0.016296771466103376,20230508173415,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,80000,80.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,19013,6473,31850,2.9406325600774377,0.10261180855398494,80025.90193950491,0.018670153118880903,20230508173428,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,90000,90.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18717,6494,31659,2.8845167257010003,0.09045068128692052,90025.91936310047,0.040037242948273,20230508173444,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,100000,100.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18498,6330,31185,2.923393533989961,0.07095055626227233,100025.91800144008,0.025853729217685823,20230508173501,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,110000,110.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18530,6437,31319,2.8835672947749362,0.1391361973785614,110025.90939574319,0.02094108088148987,20230508173516,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,120000,120.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18411,6276,30899,2.9350453086713904,0.10295883954024349,120025.92711787144,0.03036279157597602,20230508173532,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,130000,130.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18208,6165,30496,2.9596529713999367,0.1634758300059425,130025.91311274297,0.022893815853178668,20230508173550,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.Venus'>,20000000.0,22773.40514587241,7249.0,140000,140.0,10,<function gentle_check at 0x000001BDE36E0E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,18029,6192,30417,2.9148951390114437,0.10784903566286727,140025.9269943536,0.023207347495019157,20230508173606,1,140025
