sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000020E4C240A60>,<__main__.ExcitationProperties object at 0x0000020E667D5990>,10,10000.0,2006.6,49.451390273681895,687.5,31.171300903234695,2694.1,64.95452255232117,2.923821234492462,0.13301096394138653,20230530_131535,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E667D50C0>
<__main__.SampleProperties object at 0x0000020E667D7730>,<__main__.ExcitationProperties object at 0x0000020E66820040>,10,20000.0,1970.8,49.36354930513,684.1,25.43403231892261,2654.9,64.10530399272747,2.8836748794607416,0.09971766727993982,20230530_131554,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E667D7DC0>
<__main__.SampleProperties object at 0x0000020E667D7850>,<__main__.ExcitationProperties object at 0x0000020E66821150>,10,30000.0,1928.9,24.32467882624558,656.0,23.88723508487326,2584.9,36.181348786356764,2.9440737225820723,0.10747775799541659,20230530_131611,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66820B20>
<__main__.SampleProperties object at 0x0000020E66820160>,<__main__.ExcitationProperties object at 0x0000020E66821D80>,10,40000.0,1890.9,46.672154439237104,657.8,21.68317319951118,2548.7,49.966088500101755,2.878007044442504,0.12691601825242876,20230530_131635,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66822290>
<__main__.SampleProperties object at 0x0000020E667D7940>,<__main__.ExcitationProperties object at 0x0000020E66822E30>,10,50000.0,1867.8,50.065557022767656,641.2,19.203124745728232,2509.0,63.821626428664445,2.9141669469172404,0.07282864241762467,20230530_131700,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E667D5C00>
<__main__.SampleProperties object at 0x0000020E66823D30>,<__main__.ExcitationProperties object at 0x0000020E66823B50>,10,60000.0,1843.3,35.256346946330105,626.7,19.920090361240835,2470.0,35.59494346111537,2.944722660708657,0.12167181020061249,20230530_131727,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66823460>
<__main__.SampleProperties object at 0x0000020E6682C3A0>,<__main__.ExcitationProperties object at 0x0000020E6682CC10>,10,70000.0,1779.7,33.01227044600235,619.6,23.495531490051462,2399.3,32.77819397099236,2.877144222123057,0.13549859115301793,20230530_131756,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E6682D030>
<__main__.SampleProperties object at 0x0000020E668230D0>,<__main__.ExcitationProperties object at 0x0000020E6682DF90>,10,80000.0,1754.9,43.461362150765595,592.7,16.757386431063765,2347.6,48.49783500322463,2.962915650284478,0.10341332046140746,20230530_131825,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66823D60>
<__main__.SampleProperties object at 0x0000020E6682EA70>,<__main__.ExcitationProperties object at 0x0000020E6682E770>,10,90000.0,1719.9,23.500851048419502,575.8,20.937048502594628,2295.7,25.807169546465186,2.991490211243763,0.1298226207423032,20230530_131901,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E6682EE90>
<__main__.SampleProperties object at 0x0000020E66823A60>,<__main__.ExcitationProperties object at 0x0000020E6682FB80>,10,100000.0,1692.4,38.8051542968199,557.8,11.061645447219867,2250.2,40.51616961165012,3.035206277632358,0.09007503737707992,20230530_131936,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E6682F010>
<__main__.SampleProperties object at 0x0000020E6682FDF0>,<__main__.ExcitationProperties object at 0x0000020E66830910>,10,110000.0,1659.0,45.78209256903839,565.0,13.579396157414365,2224.0,56.09278028409717,2.936620215692203,0.05928937806925383,20230530_132029,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66830C10>
<__main__.SampleProperties object at 0x0000020E66831840>,<__main__.ExcitationProperties object at 0x0000020E668315A0>,10,120000.0,1623.5,50.640398892583775,562.5,15.259423318068086,2186.0,44.82186966202994,2.889604238348217,0.14730383881275708,20230530_132127,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000020E4C242F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000020E66831C90>
