sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x00000289440F0A60>,<__main__.ExcitationProperties object at 0x000002895E655990>,10,10000.0,2048.6,52.19425255715422,703.8,17.50885490259143,2752.4,45.70601710934787,2.913515088815218,0.12664458021414726,20230530_131609,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6550C0>
<__main__.SampleProperties object at 0x000002895E657E80>,<__main__.ExcitationProperties object at 0x000002895E6A42B0>,10,20000.0,2026.9,29.11511634872854,675.6,19.02734873806648,2702.5,39.968112289674124,3.0021087843708214,0.08075655279033687,20230530_131632,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E657A30>
<__main__.SampleProperties object at 0x000002895E6A4700>,<__main__.ExcitationProperties object at 0x000002895E6A4580>,10,30000.0,2005.7,41.78528449107413,680.1,13.427211177307074,2685.8,48.69250455665636,2.949788613573373,0.06592249975631687,20230530_131650,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6A54B0>
<__main__.SampleProperties object at 0x000002895E657400>,<__main__.ExcitationProperties object at 0x000002895E6A60E0>,10,40000.0,1978.0,63.34508662871968,665.0,24.951953831313492,2643.0,78.43341124801343,2.976835253663723,0.10588449156617206,20230530_131710,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E657C70>
<__main__.SampleProperties object at 0x000002895E6A6E90>,<__main__.ExcitationProperties object at 0x000002895E6A6E60>,10,50000.0,1935.5,31.62989092614769,672.7,20.46973375498568,2608.2,34.675063085739296,2.8800508163808245,0.10412092563151937,20230530_131732,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6A73A0>
<__main__.SampleProperties object at 0x000002895E657A30>,<__main__.ExcitationProperties object at 0x000002895E6A7610>,10,60000.0,1948.2,48.18464485704964,674.9,17.991386828146407,2623.1,44.92093053354973,2.889338428792123,0.12111235814679953,20230530_131759,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6A7910>
<__main__.SampleProperties object at 0x000002895E657F70>,<__main__.ExcitationProperties object at 0x000002895E6A90C0>,10,70000.0,1905.7,42.57240890529922,662.6,31.055434307058082,2568.3,54.89089177632297,2.8822032319000894,0.14532574818095392,20230530_131823,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6A8E20>
<__main__.SampleProperties object at 0x000002895E6A9D20>,<__main__.ExcitationProperties object at 0x000002895E6A9DE0>,10,80000.0,1923.0,34.76780119593415,644.7,28.590382998483946,2567.7,56.679890613867634,2.987262771080487,0.10992071489310773,20230530_131855,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6AA0E0>
<__main__.SampleProperties object at 0x000002895E657F70>,<__main__.ExcitationProperties object at 0x000002895E6AACE0>,10,90000.0,1903.6,35.20568135968966,645.3,23.732045845227926,2548.9,41.15932458143598,2.9541495041308066,0.12893522013144926,20230530_131927,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6AAF20>
<__main__.SampleProperties object at 0x000002895E6ABA30>,<__main__.ExcitationProperties object at 0x000002895E6AB6A0>,10,100000.0,1873.4,31.077966471440824,644.4,23.85036687348855,2517.8,32.458589001988365,2.911614084516375,0.12733327056667304,20230530_132008,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","Venus(singlet_lifetime_ns=2, triplet_lifetime_ns=1000000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x00000289440F2F50>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002895E6ABF40>
