sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,crescent_intensity,crescent_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000026DFE481AB0>,<__main__.ExcitationProperties object at 0x0000026DFE482470>,10,10000.0,2005.2,55.40721974616665,676.5,13.5,2681.7,57.12451312702805,2.9652551740617,0.09994309005206398,20230530_131449,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE481C30>
<__main__.SampleProperties object at 0x0000026DFE4E0B80>,<__main__.ExcitationProperties object at 0x0000026DFE4E06D0>,10,20000.0,1963.9,37.80859690599481,679.3,20.090047287151915,2643.2,37.722142038860945,2.8940398514854317,0.11407306458119812,20230530_131508,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E0310>
<__main__.SampleProperties object at 0x0000026DFE482650>,<__main__.ExcitationProperties object at 0x0000026DFE4E1240>,10,30000.0,1923.9,30.204138789245423,654.2,22.30156945149825,2578.1,34.071835876571136,2.944429959037682,0.11465945887343237,20230530_131523,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E1E40>
<__main__.SampleProperties object at 0x0000026DFE4E2B00>,<__main__.ExcitationProperties object at 0x0000026DFE4E2740>,10,40000.0,1915.0,22.400892839349062,660.6,30.29257334727441,2575.6,40.34649922855761,2.9049885168494263,0.13719797474758785,20230530_131541,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E2D40>
<__main__.SampleProperties object at 0x0000026DFE4E37F0>,<__main__.ExcitationProperties object at 0x0000026DFE4E34F0>,10,50000.0,1895.5,27.247935701627014,652.3,26.664770765937593,2547.8,32.90835760107149,2.9111259209268505,0.13467852580997092,20230530_131606,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E3D00>
<__main__.SampleProperties object at 0x0000026DFE4E3E80>,<__main__.ExcitationProperties object at 0x0000026DFE4F0820>,10,60000.0,1817.0,47.68437899354463,637.0,20.528029618061254,2454.0,60.23454158537276,2.854255693397362,0.08758212715048498,20230530_131637,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E3280>
<__main__.SampleProperties object at 0x0000026DFE4E34F0>,<__main__.ExcitationProperties object at 0x0000026DFE4F1F30>,10,70000.0,1780.9,42.2053314167772,606.3,23.125959439556233,2387.2,39.47860179894926,2.942565525762856,0.1510052526363375,20230530_131711,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4F1A80>
<__main__.SampleProperties object at 0x0000026DFE4E3DF0>,<__main__.ExcitationProperties object at 0x0000026DFE4F1DE0>,10,80000.0,1765.8,48.41446064968606,613.3,18.61209284309532,2379.1,53.576954000764175,2.881645446320725,0.11199399447664217,20230530_131746,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4E3BE0>
<__main__.SampleProperties object at 0x0000026DFE4F3610>,<__main__.ExcitationProperties object at 0x0000026DFE4F2C20>,10,90000.0,1636.7,250.5462232802562,557.1,84.42564776180281,2193.8,331.2777686473996,2.9381135745715636,0.14544674837709867,20230530_131820,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4F3B20>
<__main__.SampleProperties object at 0x0000026DFE481AB0>,<__main__.ExcitationProperties object at 0x0000026DFE4F4580>,10,100000.0,1702.2,39.37461110919065,583.7,29.846440323763904,2285.9,58.452459315241825,2.922630145289559,0.13788150693042878,20230530_131856,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)",0,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,7249,2307.4283649462986,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000026DEFEEB970>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000026DFE4F3460>
