molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,50,0.05,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,66,45,1.495959595959596,0.32317550005584156,20230425144456,1,75
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,100,0.1,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,44,28,1.6923809523809523,0.5008980597019238,20230425144458,1,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,150,0.15,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,97,45,2.321111111111111,0.789658466570935,20230425144500,1,175
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,200,0.2,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,75,30,3.1455555555555557,1.924001745334287,20230425144501,1,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,250,0.25,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,87,41,2.1682539682539685,0.4243293880692676,20230425144502,1,275
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,300,0.3,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,67,29,2.7326190476190475,1.5313451321737368,20230425144503,1,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,350,0.35,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98,43,2.4106060606060606,0.6898583184544947,20230425144504,1,375
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,400,0.4,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,106,32,3.630952380952381,1.3968299061976275,20230425144506,1,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,450,0.45,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,80,39,2.1552380952380954,0.6998487850925119,20230425144507,1,475
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,500,0.5,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,105,23,4.706666666666667,0.835171306446235,20230425144508,1,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,550,0.55,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,68,24,3.2628571428571433,1.3183181754763846,20230425144510,1,575
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,600,0.6,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,67,15,4.983333333333333,1.7704362299852667,20230425144511,1,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,650,0.65,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,84,13,8.673333333333334,5.049109932563472,20230425144513,1,675
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,700,0.7,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,90,32,2.8628571428571434,0.43345785756600874,20230425144514,1,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,750,0.75,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,86,32,2.8052380952380953,0.7561275012760355,20230425144516,1,775
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,800,0.8,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,132,53,2.53,0.3572114219898351,20230425144517,1,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,850,0.85,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,89,24,3.7766666666666664,0.5563372278673351,20230425144519,1,875
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,200000.0,785.3981633974482,249.99999999999997,900,0.9,5,<function gentle_check at 0x00000268CA2B4DC0>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,105,44,2.725909090909091,1.4169280588537099,20230425144520,1,925
