molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,50,0.05,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,65450,42618,130628,1.5368121256872258,0.052789850138591006,76.37939023344195,0.042617078845009204,20230508155155,1,75
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,100,0.1,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,72358,41103,138362,1.7625255403101483,0.07062285247994364,126.37478746751822,0.04349171362761608,20230508155221,1,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,150,0.15,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,77130,40189,143953,1.9216179015291481,0.08064553946581479,176.37312603645177,0.035159975572764506,20230508155245,1,175
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,200,0.2,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,81869,39249,149396,2.0895911171437542,0.10564693756423854,226.37960786462125,0.04094737493772445,20230508155313,1,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,250,0.25,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,85404,38635,153258,2.213612555334769,0.09923886609590034,276.37640008337473,0.038808881233313997,20230508155340,1,275
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,300,0.3,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,88758,37818,157134,2.3503264871167526,0.1069295130838762,326.38109740605177,0.03482652148715527,20230508155408,1,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,350,0.35,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,91030,37355,159636,2.441843236728108,0.12765379764510534,376.3755418919549,0.04936328157482757,20230508155440,1,375
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,400,0.4,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,92593,37183,161665,2.493242601213292,0.10981225803723804,426.3749011356113,0.03871481712799445,20230508155512,1,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,450,0.45,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,93902,36718,163225,2.5609877719035863,0.11127840072596237,476.3857566087191,0.043409621639949485,20230508155545,1,475
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,500,0.5,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,96035,36810,165996,2.6110787002482136,0.0892251281377322,526.3751096281856,0.04168805251578877,20230508155619,1,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,550,0.55,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,97129,36288,166978,2.6786145824139,0.09453614504733064,576.3765960316415,0.035978927006337307,20230508155652,1,575
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,600,0.6,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,97935,36301,167867,2.7007470684059514,0.10183068928947112,626.370132483447,0.036446016673509024,20230508155727,1,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,650,0.65,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,98299,36137,168889,2.723653015426685,0.11157068754097019,676.376622530007,0.03819582165902647,20230508155759,1,675
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,700,0.7,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,99678,36052,170278,2.769261448572637,0.1179713157699106,726.3732705916163,0.040599725348050196,20230508155832,1,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,750,0.75,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,99404,35802,169841,2.7803875321609035,0.11967466695154777,776.3772493819594,0.04215994381816391,20230508155903,1,775
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,800,0.8,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100967,35610,171149,2.837722676952926,0.09508828673611569,826.374419169634,0.035125185730715984,20230508155936,1,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,850,0.85,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,100792,35715,171116,2.826049637839893,0.119253567979666,876.3700691004377,0.03682233382401877,20230508160010,1,875
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,900,0.9,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,101597,35314,171710,2.881723083061007,0.13487315530270377,926.3768665601752,0.0329569219727388,20230508160047,1,925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,785.3981633974482,249.99999999999997,950,0.95,50,<function gentle_check at 0x000001EA31630E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,101471,35574,172178,2.856315198361484,0.12073967304006167,976.3743816992912,0.04089603393520914,20230508160133,1,975
