sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x0000029D6FDE09A0>,<__main__.ExcitationProperties object at 0x0000029D7E3118D0>,50,50.0,1666.26,36.1877382548288,777.8,24.42867167899229,2444.06,39.275646398245314,2.144708095462564,0.0903529661683664,20230530_131352,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E311000>
<__main__.SampleProperties object at 0x0000029D7E363940>,<__main__.ExcitationProperties object at 0x0000029D7E362AA0>,50,100.0,1827.14,49.362337870080665,756.46,23.95596794120413,2583.6,56.25655517359733,2.4176975820120963,0.09778524061992137,20230530_131432,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E362B30>
<__main__.SampleProperties object at 0x0000029D7E36BE80>,<__main__.ExcitationProperties object at 0x0000029D7E36BD60>,50,150.0,1921.3,40.83882956207242,731.04,21.949906605723864,2652.34,47.94480576663128,2.6304163661368456,0.09332506128472445,20230530_131509,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E36BF70>
<__main__.SampleProperties object at 0x0000029D7E310FA0>,<__main__.ExcitationProperties object at 0x0000029D7E377B80>,50,200.0,1976.2,38.41145662429375,728.6,27.521627858831316,2704.8,51.78185010213521,2.715757283983329,0.1051759094950081,20230530_131600,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E3771C0>
<__main__.SampleProperties object at 0x0000029D7E37CDC0>,<__main__.ExcitationProperties object at 0x0000029D7E37E020>,50,250.0,1990.1,53.491775068696306,728.08,22.966793420066285,2718.18,59.69478704208601,2.7359573395007883,0.1115503529081736,20230530_131708,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E37E3E0>
<__main__.SampleProperties object at 0x0000029D7E36D3C0>,<__main__.ExcitationProperties object at 0x0000029D7E382E60>,50,300.0,2027.76,48.22387790296421,723.42,24.472098397971514,2751.18,55.80275620433098,2.806020654193326,0.10987418441555252,20230530_131811,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E310FA0>
<__main__.SampleProperties object at 0x0000029D7E383160>,<__main__.ExcitationProperties object at 0x0000029D7E382AA0>,50,350.0,2005.82,45.31034760405178,728.54,28.79042201844218,2734.36,48.305593878970164,2.7580180446494644,0.13589421480510708,20230530_131915,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E3832B0>
<__main__.SampleProperties object at 0x0000029D7E382B00>,<__main__.ExcitationProperties object at 0x0000029D7E382920>,50,400.0,2016.68,47.91343861590399,725.38,25.8688152028654,2742.06,57.881053895035464,2.783360364708262,0.11037793991740893,20230530_132038,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383610>
<__main__.SampleProperties object at 0x0000029D7E3834F0>,<__main__.ExcitationProperties object at 0x0000029D7E383190>,50,450.0,2023.14,46.61244898093212,721.68,24.24577488965861,2744.82,53.292659907345595,2.80643469665192,0.11203550419468375,20230530_132228,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382410>
<__main__.SampleProperties object at 0x0000029D7E310FA0>,<__main__.ExcitationProperties object at 0x0000029D7E382590>,50,500.0,2026.28,40.87103619924506,721.58,22.604503975977885,2747.86,46.81367748852893,2.8108255009271694,0.10326553455153932,20230530_132417,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E37FCD0>
<__main__.SampleProperties object at 0x0000029D7E382980>,<__main__.ExcitationProperties object at 0x0000029D7E383190>,50,550.0,2028.44,42.93630631528521,719.62,26.545726586401813,2748.06,49.9136895049845,2.8227230045271003,0.12323809270868342,20230530_132606,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383010>
<__main__.SampleProperties object at 0x0000029D7E383220>,<__main__.ExcitationProperties object at 0x0000029D7E382E60>,50,600.0,2028.06,52.31153218937484,718.48,28.406506296973586,2746.54,67.79770202595365,2.826125877004608,0.11076633518887005,20230530_132759,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383670>
<__main__.SampleProperties object at 0x0000029D7E382F20>,<__main__.ExcitationProperties object at 0x0000029D7E383340>,50,650.0,2023.18,53.15287010124665,724.9,32.5159960634762,2748.08,62.20155625062768,2.7967550711538025,0.1487204867706436,20230530_132951,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E382C80>
<__main__.SampleProperties object at 0x0000029D7E37DDE0>,<__main__.ExcitationProperties object at 0x0000029D7E383220>,50,700.0,2042.26,33.195065898413276,718.02,23.734776173370584,2760.28,37.844439485874275,2.8476270436251183,0.11073412609249632,20230530_133148,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383520>
<__main__.SampleProperties object at 0x0000029D7E36D3C0>,<__main__.ExcitationProperties object at 0x0000029D7E3830A0>,50,750.0,2021.34,48.94838506018355,720.12,25.763260663200224,2741.46,54.79277689622967,2.8105835742977248,0.1229036395503424,20230530_133343,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E37CDC0>
<__main__.SampleProperties object at 0x0000029D7E383370>,<__main__.ExcitationProperties object at 0x0000029D7E3831F0>,50,800.0,2023.74,42.075555848972456,721.72,28.95516534230119,2745.46,45.66452014419948,2.809049898988641,0.13792641284114796,20230530_133539,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383280>
<__main__.SampleProperties object at 0x0000029D7E37DDE0>,<__main__.ExcitationProperties object at 0x0000029D7E382B00>,50,850.0,2024.92,41.22079087062741,717.98,25.18054010540679,2742.9,43.85305006496127,2.824192370063417,0.1245347892383799,20230530_133737,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E383100>
<__main__.SampleProperties object at 0x0000029D7E310FA0>,<__main__.ExcitationProperties object at 0x0000029D7E381ED0>,50,900.0,2021.0,59.713315098058324,723.44,23.332518080995886,2744.44,64.06532915704094,2.796457705676301,0.12115016291004498,20230530_133936,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,250,79.57747154594767,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x0000029D6FDE2E90>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x0000029D7E37FCD0>
