molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,10000,10.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9845,3519,16695,2.8000791573828048,0.10592094314550206,10026.39101796227,0.028100448378234923,20230508152605,1,10025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,20000,20.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9981,3344,16686,2.986346425746054,0.05135805529049184,20026.381648376107,0.01720591048901347,20230508152608,1,20025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,30000,30.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9583,3262,16093,2.9452792312366904,0.16520161503039496,30026.40165569128,0.0292502443248102,20230508152611,1,30025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,40000,40.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9580,3313,16187,2.8927003369293725,0.05267907341318831,40026.37524830137,0.04676937225841168,20230508152614,1,40025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,50000,50.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9343,3228,15741,2.902187979385004,0.17671648978479798,50026.37701037902,0.04522481163482624,20230508152618,1,50025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,60000,60.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,9084,3114,15250,2.920925143431382,0.12611176191248546,60026.391653410814,0.03766351819743118,20230508152622,1,60025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,70000,70.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8877,3115,15011,2.8581965660864794,0.16907600526716401,70026.3637313124,0.019143756565017454,20230508152627,1,70025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,80000,80.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8862,2925,14746,3.0386669842856473,0.16563472940211735,80026.34130858863,0.029208691709080362,20230508152632,1,80025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,90000,90.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8612,2993,14534,2.880984187371988,0.11866230237752183,90026.42809046623,0.034597618093408104,20230508152638,1,90025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,100000,100.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8511,2858,14337,2.9784618659915187,0.06850669034873845,100026.39364814192,0.04149621905763748,20230508152643,1,100025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,110000,110.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8080,2811,13683,2.876295455208019,0.09826515559924838,110026.38006680719,0.043244240118335935,20230508152646,1,110025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,120000,120.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,8125,2728,13573,2.990385280026696,0.2039007544689228,120026.34311594807,0.03240642056008463,20230508152653,1,120025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,130000,130.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,7969,2767,13465,2.886016049138731,0.1554899252256406,130026.36624630161,0.05270119785618977,20230508152707,1,130025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,7853.981633974483,2500.0,140000,140.0,5,<function gentle_check at 0x0000017486E20E50>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,7786,2618,13052,2.9806521900398306,0.16334794923266013,140026.38328581236,0.029780084799997754,20230508152721,1,140025
