molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,10,0.01,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14968,8438,28834,1.7762933275967598,0.07391430681753162,36.36790204515016,0.023583821314024145,20230523182623,1,35
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,10,0.01,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14829,8245,28651,1.8006462120572313,0.07421257771291333,36.409885516437875,0.03548829984962556,20230523182627,1,35
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,10,0.01,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14954,8594,28959,1.741920963995145,0.0739636880585836,36.36433317390049,0.05030342259742788,20230523182631,1,35
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,11,0.011,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14967,8258,28621,1.8143354137704744,0.06620441980515368,37.387455161569854,0.03647278896532393,20230523182635,1,36
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,11,0.011,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14979,8393,28908,1.7863282985519249,0.07193511107719555,37.363241211772866,0.05215307914698591,20230523182639,1,36
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,11,0.011,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14739,8384,28759,1.7585791925232492,0.05984715180649117,37.366162863777376,0.04765139082780767,20230523182643,1,36
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,12,0.012,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14896,8259,28605,1.8049157952043267,0.06714951058324894,38.39080922296007,0.04123359303065445,20230523182647,1,37
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,12,0.012,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14994,8307,28614,1.8075187198140896,0.08822013881903708,38.36270254823224,0.03312065718898689,20230523182651,1,37
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,13,0.013,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,14954,8243,28735,1.8173344255121542,0.09497069004039536,39.36950256949869,0.03785289388947002,20230523182655,1,38
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,188.49555921538757,59.99999999999999,13,0.013,10,<function gentle_check at 0x000001A50EA24F70>,"(0, 1, 0)",2,"(1, 0, 0)",0,"(1, 0, 0)",0.25,15075,8287,28784,1.8208278035599463,0.059558444472835856,39.38964485027053,0.027009770326943093,20230523182659,1,38
