sample,excitation_props,repetitions,collection_time_point,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,excitation_intensity,excitation_polarization,trigger_intensity,trigger_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x000002D6D7C6D9F0>,<__main__.ExcitationProperties object at 0x000002D6F2155AB0>,10,10.0,1838.1,51.66517202139175,787.7,14.852945835759316,2625.8,58.240535711821884,2.3339280718175557,0.06583763050983239,20230530_131231,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21551B0>
<__main__.SampleProperties object at 0x000002D6F2157940>,<__main__.ExcitationProperties object at 0x000002D6F21A8220>,10,10.353218432956622,1837.7,68.36673167557448,790.2,30.373672810511408,2627.9,81.66449656980689,2.3281892797724715,0.10814231217809586,20230530_131244,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21A85E0>
<__main__.SampleProperties object at 0x000002D6F21A9210>,<__main__.ExcitationProperties object at 0x000002D6F21A8640>,10,10.718913192051275,1834.5,35.702240826032195,776.3,19.96021041973255,2610.8,34.28935694935092,2.365134293247631,0.08922646236312864,20230530_131249,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21A96F0>
<__main__.SampleProperties object at 0x000002D6F21AA320>,<__main__.ExcitationProperties object at 0x000002D6F21A9CF0>,10,11.097524964120721,1826.2,38.10196845308652,787.4,32.15649234602555,2613.6,58.88327436547665,2.32241553313124,0.08897463094368496,20230530_131254,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21AA620>
<__main__.SampleProperties object at 0x000002D6F21AA830>,<__main__.ExcitationProperties object at 0x000002D6F21AAF80>,10,11.489510001873093,1835.8,54.1494228962784,778.1,30.41200420886463,2613.9,53.69813777031751,2.3636924499922847,0.1288437864191485,20230530_131259,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21AB550>
<__main__.SampleProperties object at 0x000002D6F21AB910>,<__main__.ExcitationProperties object at 0x000002D6F21AABF0>,10,11.895340673703195,1829.6,52.76968826892954,777.5,26.45845800495562,2607.1,42.872951846123215,2.3573043062854735,0.13285639928263365,20230530_131304,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21ABE80>
<__main__.SampleProperties object at 0x000002D6F21ABF70>,<__main__.ExcitationProperties object at 0x000002D6F21B1270>,10,12.315506032928255,1860.6,35.12036446280135,785.9,22.549722836434153,2646.5,41.17827096904386,2.369458785621579,0.08214589594796926,20230530_131309,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B1090>
<__main__.SampleProperties object at 0x000002D6F21A8640>,<__main__.ExcitationProperties object at 0x000002D6F21B2170>,10,12.75051240713013,1836.0,39.967486786136554,780.5,32.794054339163374,2616.5,48.78780585351221,2.3569120125547913,0.12045211929516067,20230530_131315,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B1F30>
<__main__.SampleProperties object at 0x000002D6F21B2530>,<__main__.ExcitationProperties object at 0x000002D6F21B2740>,10,13.200884008314182,1814.6,40.147727208398734,774.7,20.154652068443156,2589.3,42.17594100906345,2.3440953885185096,0.08551724405864862,20230530_131320,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B3190>
<__main__.SampleProperties object at 0x000002D6F21B3EB0>,<__main__.ExcitationProperties object at 0x000002D6F21B3B50>,10,13.667163564620067,1813.7,37.57672151745014,780.5,23.896652485233158,2594.2,45.382375433641634,2.325854837869973,0.08275321460385285,20230530_131325,[],2,"(0, 1, 0)",0.25,"(1, 0, 0)","mScarlet(singlet_lifetime_ns=3, triplet_lifetime_ns=500000.0, triplet_quantum_yield=0.01)",20000000.0,60,19.098593171027442,<rotational_diffusion.src.fluorophore.PossibleStates object at 0x000002D6D7C6F130>,<rotational_diffusion.src.fluorophore.FluorophoreCollection object at 0x000002D6F21B3C40>
