molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time,phosphorescence_lifetime
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,85024,149046,319288,0.570478831367088,0.004874701093576246,,,20230508151436,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,91243,136849,319328,0.6667475350089512,0.005200715939668301,,,20230508151509,1,0,20000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,97035,125735,320032,0.7717434407053594,0.0054622890530591816,,,20230508151542,1,0,40000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,101411,117544,319999,0.8628117988509617,0.01194722610133544,,,20230508151616,1,0,80000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,103487,112624,319142,0.9189078002502479,0.006890136743199609,,,20230508151651,1,0,160000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,104754,109645,319782,0.9554130180922137,0.00584481716546979,,,20230508151731,1,0,320000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,106149,108040,319884,0.9825349463560074,0.00995759768536103,,,20230508151815,1,0,640000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,103438,105425,312508,0.9811510185767215,0.0022661707013876347,,,20230508151902,1,0,1280000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,73831,172807,319501,0.42728479058599583,0.005674381279887678,,,20230508151940,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,5,<function capture_phosphorescence_decay at 0x0000027E331D0F70>,"(0, 1, 0)",2,nan,nan,nan,nan,75988,167329,319008,0.4541321466767979,0.0029845319294309926,,,20230508151945,1,0,20000.0
