molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,157,383,697,0.4152916453209225,0.11315380909709219,4.687467417805893,0.6496795275544792,20230523185447,1,0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,288,832,1412,0.3506827426562869,0.06613501823340477,16.822555804345633,0.35055813076759973,20230523185447,2,12.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,415,1139,1976,0.3643477891331865,0.03404378919010958,29.718847553918135,0.47101452044009506,20230523185447,3,25.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,540,1575,2687,0.34331379613981683,0.04888880243439802,42.065402242446915,0.45719827256689227,20230523185447,4,37.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,712,1935,3336,0.3684453183132359,0.03353791625651108,54.604776370893134,0.299336618582234,20230523185447,5,50.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,839,2233,3967,0.37797558756095045,0.04936528801795113,67.03649693322554,0.23027721783871583,20230523185447,6,62.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1004,2566,4562,0.39184092158232203,0.03738167957321129,79.61237530118535,0.23803041519385806,20230523185447,7,75.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1192,2902,5234,0.4111935445951026,0.031575635911510795,92.03262653563316,0.22477359861198626,20230523185447,8,87.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1326,3279,5863,0.4073681066014568,0.05469814479579482,104.61225806957154,0.2274465949824063,20230523185447,9,100.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1444,3572,6471,0.405390775469144,0.037276472332754856,117.1151893386927,0.1739872380930451,20230523185447,10,112.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1627,3847,7090,0.424194574866115,0.028859184583477974,129.49495385449654,0.1571839556640494,20230523185447,11,125.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1725,4148,7553,0.4177263492914597,0.03743609829425583,142.11996270911672,0.21679989743150202,20230523185447,12,137.5
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,1903,4368,8197,0.4370100480749244,0.035932639907858686,154.53657889498663,0.1722983037921574,20230523185447,13,150.0
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,10,<function photobleach at 0x00000247C1151000>,"(0, 1, 0)",0.001,,,,,2051,4718,8762,0.4355183041067815,0.0394226573233981,167.10773201047968,0.18293330973866262,20230523185447,14,162.5
