molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time,bleach_rate
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.001,,,,,2140112,2960260,7238403,0.7229495327448265,0.0012290239456566958,2283.1629997771934,0.6999364001586754,20230524133644,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.001,,,,,2120221,2943826,7186894,0.7202258292874513,0.0017329807372306178,2293.569538498474,1.6484161173592635,20230524134257,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,1310.0441365469437,417.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.001,,,,,1848054,2639610,6337762,0.7001240938799939,0.0003692460608606025,2467.904000322438,0.3225619060331141,20230524134910,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,2092.300707290802,666.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.001,,,,,1498577,2251379,5250752,0.6656262307159304,0.0004824762770995145,2619.580957082487,2.5586346345249504,20230524135527,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,6283.185307179586,1999.9999999999998,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.001,,,,,671646,1242972,2586108,0.5403572226121148,0.001759790154853204,2853.821070807263,1.7902077718296152,20230524140141,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,785.3981633974482,249.99999999999997,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.005,,,,,9935148,13682215,33543250,0.7261357740719758,0.0002653604126869759,2247.914863455823,4.948709430764996,20230524140756,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,816.8140899333462,260.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.005,,,,,9832962,13547061,33212800,0.7258374331308872,0.0002611697858556658,2261.05064205508,4.196891417367979,20230524141411,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,1310.0441365469437,417.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.005,,,,,8373487,11845886,28594588,0.7068680296835836,0.0006836521356024449,2416.1293265605186,1.6733086650693614,20230524142023,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,2092.300707290802,666.0,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.005,,,,,6642711,9790336,23067889,0.6784967685332997,0.0003705420869331293,2551.053787741351,1.5730562249737885,20230524142632,1,0,0.05
<class 'rotational_diffusion.src.variables.molecule_properties.Fluorescein'>,20000000.0,6283.185307179586,1999.9999999999998,,,4,<function photobleach at 0x0000024821CF51B0>,"(0, 1, 0)",0.005,,,,,2880332,5063055,10820552,0.5688925975125028,0.0010180127931608471,2755.223439914713,2.4799364275600646,20230524143240,1,0,0.05
