sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x00000212BD48A770>,<__main__.LaserProperties object at 0x00000212BD4896C0>,4,37.75,2.5860201081971503,107.75,6.53356717268599,145.5,6.34428877022476,0.35194803649615186,0.03581990425823476,20230525_105833,[],0.001,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD488C40>
<__main__.SampleProperties object at 0x00000212BD4D7460>,<__main__.LaserProperties object at 0x00000212BD4D7280>,4,34.25,5.717298313014636,105.25,7.327175444876422,139.5,10.523782589924593,0.3260179191293742,0.05032809469064796,20230525_105836,[],0.001,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7400>
<__main__.SampleProperties object at 0x00000212BD4D7520>,<__main__.LaserProperties object at 0x00000212BD48A020>,4,34.0,2.9154759474226504,101.75,9.575359001102779,135.75,11.366067921669305,0.33565072302558396,0.03106436463768928,20230525_105840,[],0.001,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A1A0>
<__main__.SampleProperties object at 0x00000212BD48A410>,<__main__.LaserProperties object at 0x00000212BD4D71C0>,4,37.5,7.433034373659253,102.25,7.189401922274203,139.75,12.616952880945542,0.36574493249250534,0.06451498163537316,20230525_105843,[],0.001,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7400>
<__main__.SampleProperties object at 0x00000212BD4D7460>,<__main__.LaserProperties object at 0x00000212BD488C40>,4,34.75,7.084313657652377,104.25,7.562241731127087,139.0,8.860022573334675,0.3363158561296859,0.0771809831403168,20230525_105846,[],0.001,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A020>
<__main__.SampleProperties object at 0x00000212BD4D72E0>,<__main__.LaserProperties object at 0x00000212BD4D7400>,4,176.75,5.356071321407137,499.5,24.60182920028509,676.25,29.549746191803408,0.3542330878906231,0.009042651135394783,20230525_105850,[],0.005,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7520>
<__main__.SampleProperties object at 0x00000212BD4D71C0>,<__main__.LaserProperties object at 0x00000212BD48A410>,4,186.0,8.455767262643882,503.75,16.345871038277526,689.75,24.620875289071265,0.3690968916658818,0.005973480615774405,20230525_105854,[],0.005,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A770>
<__main__.SampleProperties object at 0x00000212BD4D7280>,<__main__.LaserProperties object at 0x00000212BD4D7460>,4,177.75,23.731571797923543,506.0,10.344080432788601,683.75,32.275183965393595,0.3506964406677321,0.04196618415812382,20230525_105859,[],0.005,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7310>
<__main__.SampleProperties object at 0x00000212BD4D72E0>,<__main__.LaserProperties object at 0x00000212BD48A020>,4,171.75,15.801503093060482,520.75,30.97075233183721,692.5,24.315632831575655,0.3321295531689483,0.04575827042697305,20230525_105903,[],0.005,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A410>
<__main__.SampleProperties object at 0x00000212BD48A1A0>,<__main__.LaserProperties object at 0x00000212BD4D7310>,4,172.25,13.827056809024834,522.75,11.712706775122479,695.0,24.9499498997493,0.32913573018455194,0.019760922735595685,20230525_105907,[],0.005,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7400>
<__main__.SampleProperties object at 0x00000212BD48A830>,<__main__.LaserProperties object at 0x00000212BD48A770>,4,363.5,12.175795661885921,1018.5,30.696090956341656,1382.0,22.5055548698538,0.35748509430588504,0.020778055007496698,20230525_105911,[],0.01,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A020>
<__main__.SampleProperties object at 0x00000212BD48A1A0>,<__main__.LaserProperties object at 0x00000212BD4D7400>,4,356.25,17.640507362318125,988.75,35.66773752286512,1345.0,18.275666882497067,0.36143830913631547,0.031561110529689185,20230525_105916,[],0.01,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7520>
<__main__.SampleProperties object at 0x00000212BD4D7460>,<__main__.LaserProperties object at 0x00000212BD48A770>,4,343.5,8.04673846971554,1000.5,18.090052515125542,1344.0,25.524498036200438,0.34331037713380835,0.0037856884320901945,20230525_105920,[],0.01,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD488C40>
<__main__.SampleProperties object at 0x00000212BD4D7520>,<__main__.LaserProperties object at 0x00000212BD4D7280>,4,346.0,10.173494974687902,1013.25,27.279800219209818,1359.25,28.331740151286155,0.3417475279464643,0.014121165484204109,20230525_105924,[],0.01,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D72E0>
<__main__.SampleProperties object at 0x00000212BD4896C0>,<__main__.LaserProperties object at 0x00000212BD48A410>,4,367.0,18.506755523321747,1046.25,16.990806337546196,1413.25,23.370654676324325,0.35090661240580134,0.019181528296722566,20230525_105928,[],0.01,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A830>
<__main__.SampleProperties object at 0x00000212BD4D7310>,<__main__.LaserProperties object at 0x00000212BD4D7280>,4,1593.75,41.09972627646077,4501.25,44.70668294561787,6095.0,82.92767933567175,0.3540251678937375,0.006277298562979742,20230525_105933,[],0.05,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D72E0>
<__main__.SampleProperties object at 0x00000212BD4D7520>,<__main__.LaserProperties object at 0x00000212BD488C40>,4,1619.0,33.354160160315836,4499.25,42.745613810074126,6118.25,57.824627106450066,0.3598599974828369,0.007736034002132184,20230525_105938,[],0.05,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A410>
<__main__.SampleProperties object at 0x00000212BD4D7310>,<__main__.LaserProperties object at 0x00000212BD4D7400>,4,1584.0,23.843238035132728,4565.75,61.949071825169426,6149.75,49.90177852541931,0.3470401990380562,0.009006286933616613,20230525_105942,[],0.05,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7460>
<__main__.SampleProperties object at 0x00000212BD4D7520>,<__main__.LaserProperties object at 0x00000212BD48A020>,4,1597.25,9.229707470987366,4604.25,40.08350658313217,6201.5,42.44113570582201,0.34693172393209093,0.003390019748847182,20230525_105946,[],0.05,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A1A0>
<__main__.SampleProperties object at 0x00000212BD4D7460>,<__main__.LaserProperties object at 0x00000212BD4D7280>,4,1579.5,43.072613108563544,4570.5,89.83457018319841,6150.0,73.75296604205148,0.34582278581929526,0.014365810322380622,20230525_105950,[],0.05,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7400>
<__main__.SampleProperties object at 0x00000212BD4D7520>,<__main__.LaserProperties object at 0x00000212BD48A770>,4,2818.75,81.92183774794118,7904.0,118.60227653801591,10722.75,96.17269622923129,0.35679390693807517,0.014156363986065668,20230525_105955,[],0.1,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD48A410>
<__main__.SampleProperties object at 0x00000212BD4896C0>,<__main__.LaserProperties object at 0x00000212BD4D72E0>,4,2867.0,81.22499615266227,7972.25,177.0104163601679,10839.25,201.94847734013743,0.35977428575187953,0.012279640483993784,20230525_105959,[],0.1,"(0, 1, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",2000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x000002128B9F37F0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000212BD4D7310>
