sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,intensity,polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x00000206E8E6D6F0>,<__main__.LaserProperties object at 0x00000206E8E6D750>,4,1005769.25,1920.9971857085059,353092.0,1049.1174862711994,1358861.25,2968.1550982891713,2.848471326082051,0.0030650367245418837,20230525_184525,[],0.002,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x0000020703296BF0>
<__main__.SampleProperties object at 0x00000207299DE080>,<__main__.LaserProperties object at 0x00000207299DE3B0>,4,1008368.25,1692.2758898891161,352284.0,1053.310020839069,1360652.25,2374.799715239161,2.8623919264503477,0.007589276213132,20230526_002847,[],0.002,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DD660>
<__main__.SampleProperties object at 0x0000020703297670>,<__main__.LaserProperties object at 0x0000020703297580>,4,1014903.25,2728.3418384615957,349116.75,439.745025554582,1364020.0,2693.472294269982,2.9070659237496543,0.009145954004237565,20230526_062816,[],0.002,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DE410>
<__main__.SampleProperties object at 0x00000207299DE890>,<__main__.LaserProperties object at 0x00000207299DDB40>,4,1017561.25,3518.4503957708425,346055.75,1448.6920609639578,1363617.0,4915.783406538575,2.9404657233056013,0.004114105242317587,20230526_122407,[],0.002,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DE560>
<__main__.SampleProperties object at 0x00000207032976D0>,<__main__.LaserProperties object at 0x0000020703297790>,4,1023972.5,2079.156619882206,344241.25,806.6970853424475,1368213.75,2769.7544453434857,2.9745830802218993,0.004162021519655771,20230526_182652,[],0.002,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DE6E0>
<__main__.SampleProperties object at 0x00000207299DE8F0>,<__main__.LaserProperties object at 0x00000207299DE860>,4,1115305.75,3276.902605739145,391484.5,1103.8116913676897,1506790.25,4363.203088042086,2.84891373712102,0.0017241200718251535,20230527_001417,[],0.01,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DDB40>
<__main__.SampleProperties object at 0x00000207299DEE90>,<__main__.LaserProperties object at 0x00000207299DEBF0>,4,1117330.75,2361.974213978637,391835.0,544.3523674973776,1509165.75,2905.6187271388517,2.8515309558070383,0.0020817341894757402,20230527_042601,[],0.01,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DEEC0>
<__main__.SampleProperties object at 0x00000207299DE650>,<__main__.LaserProperties object at 0x00000207299DF160>,4,1122664.5,1509.515567988618,387221.75,988.1205328804781,1509886.25,2351.607787769891,2.8992918712996354,0.005088256381446386,20230527_084502,[],0.01,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DEEF0>
<__main__.SampleProperties object at 0x00000207299DEE60>,<__main__.LaserProperties object at 0x00000207299DF310>,4,1128422.5,2776.422563299758,385169.5,565.5287349021268,1513592.0,3074.9839836981264,2.9296792127632636,0.006496086032488453,20230527_125632,[],0.01,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DE860>
<__main__.SampleProperties object at 0x00000207299DEBF0>,<__main__.LaserProperties object at 0x00000207299DE560>,4,1130107.0,2651.8367219721504,382233.0,861.2162910674647,1512340.0,2966.5398193855413,2.95660339568072,0.008460852749776968,20230527_170940,[],0.01,"(1, 0, 0)","Fluorescein(singlet_lifetime_ns=4, bleach_rate=0.05)",100000.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x00000206E8E3B730>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x00000207299DF3A0>
