sample,excitation_props,repetitions,photons_x_mean,photons_x_std,photons_y_mean,photons_y_std,total_photons_mean,total_photons_std,ratio_xy_mean,ratio_xy_std,datetime,ratio_outputs,on_intensity,on_polarization,off_intensity,off_polarization,sample_fluorescent_molecule,sample_num_molecules,sample_rdt,sample_rdt_unpied,sample_state_info,sample_fluorophore_holder
<__main__.SampleProperties object at 0x12381fd00>,<__main__.ExcitationProperties object at 0x12381e740>,4,0.0,0.0,0.25,0.4330127018922193,0.25,0.4330127018922193,0.0,0.0,20230526_120705,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x12381fe50>
<__main__.SampleProperties object at 0x123825d20>,<__main__.ExcitationProperties object at 0x123825c90>,4,0.25,0.4330127018922193,0.0,0.0,0.25,0.4330127018922193,nan,nan,20230526_120705,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825cf0>
<__main__.SampleProperties object at 0x12381e740>,<__main__.ExcitationProperties object at 0x123805c60>,4,0.5,0.8660254037844386,0.0,0.0,0.5,0.8660254037844386,nan,nan,20230526_120705,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123805de0>
<__main__.SampleProperties object at 0x12381cd30>,<__main__.ExcitationProperties object at 0x12383c7c0>,4,0.25,0.4330127018922193,0.5,0.5,0.75,0.82915619758885,0.5,0.5,20230526_120705,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825e70>
<__main__.SampleProperties object at 0x123829840>,<__main__.ExcitationProperties object at 0x1238041f0>,4,0.0,0.0,0.25,0.4330127018922193,0.25,0.4330127018922193,0.0,0.0,20230526_120705,[],0.01,"(1, 0, 0)",0.002,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123805cc0>
<__main__.SampleProperties object at 0x12381cd30>,<__main__.ExcitationProperties object at 0x12383c6a0>,4,0.25,0.4330127018922193,2.5,2.8722813232690143,2.75,2.680951323690902,0.0,0.0,20230526_120705,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825f30>
<__main__.SampleProperties object at 0x123829840>,<__main__.ExcitationProperties object at 0x123805d50>,4,0.5,0.5,1.5,1.5,2.0,1.8708286933869707,0.4166666666666667,0.42491829279939874,20230526_120705,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123815f60>
<__main__.SampleProperties object at 0x12381e740>,<__main__.ExcitationProperties object at 0x12383c9d0>,4,0.0,0.0,1.25,1.299038105676658,1.25,1.299038105676658,0.0,0.0,20230526_120705,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825f30>
<__main__.SampleProperties object at 0x123829840>,<__main__.ExcitationProperties object at 0x123805d50>,4,1.5,1.118033988749895,0.5,0.5,2.0,1.4142135623730951,2.0,1.0,20230526_120705,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x12381cd30>
<__main__.SampleProperties object at 0x123825c90>,<__main__.ExcitationProperties object at 0x12383c820>,4,0.5,0.5,0.25,0.4330127018922193,0.75,0.82915619758885,1.0,0.0,20230526_120705,[],0.01,"(1, 0, 0)",0.01,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825d20>
<__main__.SampleProperties object at 0x12381f340>,<__main__.ExcitationProperties object at 0x123805d50>,4,1.75,0.82915619758885,5.0,2.345207879911715,6.75,2.8613807855648994,0.4880952380952381,0.3187720914046639,20230526_120706,[],0.01,"(1, 0, 0)",0.05,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825e70>
<__main__.SampleProperties object at 0x123825c90>,<__main__.ExcitationProperties object at 0x12383cac0>,4,2.5,1.5,3.75,2.8613807855648994,6.25,2.48746859276655,0.9920634920634921,1.0691038860529856,20230526_120706,[],0.01,"(1, 0, 0)",0.05,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123805b40>
<__main__.SampleProperties object at 0x12381f340>,<__main__.ExcitationProperties object at 0x123805d50>,4,1.25,1.0897247358851685,4.25,1.479019945774904,5.5,1.118033988749895,0.4666666666666667,0.6013872850889571,20230526_120706,[],0.01,"(1, 0, 0)",0.05,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,417,132.73522253864073,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825f30>
<__main__.SampleProperties object at 0x12381cd30>,<__main__.ExcitationProperties object at 0x12383c730>,4,1.25,1.0897247358851685,4.75,1.299038105676658,6.0,0.7071067811865476,0.3541666666666667,0.38358234665670765,20230526_120706,[],0.01,"(1, 0, 0)",0.05,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,666,211.9943841984046,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123825d20>
<__main__.SampleProperties object at 0x123825e70>,<__main__.ExcitationProperties object at 0x123805d50>,4,2.5,1.118033988749895,3.0,1.224744871391589,5.5,1.118033988749895,1.0583333333333333,0.7142886904699901,20230526_120706,[],0.01,"(1, 0, 0)",0.05,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,2000,636.6197723675814,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x12381e740>
<__main__.SampleProperties object at 0x123825c90>,<__main__.ExcitationProperties object at 0x12383c8b0>,4,3.0,0.0,7.5,2.29128784747792,10.5,2.29128784747792,0.4529761904761905,0.1778586966847406,20230526_120706,[],0.01,"(1, 0, 0)",0.25,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,250,79.57747154594767,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123815f60>
<__main__.SampleProperties object at 0x12381f340>,<__main__.ExcitationProperties object at 0x123805d50>,4,4.0,2.345207879911715,7.25,1.479019945774904,11.25,1.299038105676658,0.6529761904761905,0.5504027977726116,20230526_120706,[],0.01,"(1, 0, 0)",0.25,"(0, 1, 0)",rsEGFP2(singlet_lifetime_ns=3),100.0,260,82.76057040778558,<rotational_diffusion.src.components.fluorophore.PossibleStates object at 0x1237cbca0>,<rotational_diffusion.src.components.fluorophore.FluorophoreCollection object at 0x123805ea0>
