molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time,phosphorescence_lifetime
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,880811,1418099,0.6211392726969265,0.004958931644861373,20230508111041,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,949897,1299737,0.730852041814714,0.004829085737014279,20230508111100,1,0,20000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1003964,1206290,0.8322940152376844,0.005756695929876414,20230508111120,1,0,40000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1028063,1133603,0.9069191834846845,0.006235781096234098,20230508111140,1,0,80000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1054995,1104619,0.9551105644312247,0.008324616282618323,20230508111158,1,0,160000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1056690,1084877,0.9740493405139529,0.007768051629205039,20230508111222,1,0,320000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1068340,1075339,0.9935206594506633,0.007802502478891122,20230508111245,1,0,640000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,28431.413514987627,9050.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,1030601,1049853,0.9816900527545437,0.007291941472730571,20230508111313,1,0,1280000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,746919,1687966,0.44250850306392137,0.004033634769112794,20230508111334,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function capture_phosphorescence_decay at 0x000001DA4FA80EE0>,"(0, 1, 0)",2,nan,nan,nan,nan,777499,1636242,0.4751816139736945,0.003749757243976938,20230508111336,1,0,20000.0
