molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,4679,11747,0.39831446326721714,0.0,20230508130115,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2948,7353,0.4009247926016592,0.0,20230508130115,2,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2055,5185,0.39633558341369335,0.0,20230508130115,3,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1363,3588,0.3798773690078038,0.0,20230508130115,4,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,984,2530,0.38893280632411065,0.0,20230508130115,5,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,665,1756,0.3787015945330296,0.0,20230508130115,6,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,491,1207,0.4067937033968517,0.0,20230508130115,7,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,352,829,0.42460796139927626,0.0,20230508130115,8,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,260,612,0.42483660130718953,0.0,20230508130115,9,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,162,433,0.3741339491916859,0.0,20230508130115,10,925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,142,290,0.4896551724137931,0.0,20230508130115,11,1025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,105,224,0.46875,0.0,20230508130115,12,1125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,71,197,0.3604060913705584,0.0,20230508130115,13,1225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,45,127,0.3543307086614173,0.0,20230508130115,14,1325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,34,95,0.35789473684210527,0.0,20230508130115,15,1425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,25,59,0.423728813559322,0.0,20230508130115,16,1525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,22,65,0.3384615384615385,0.0,20230508130115,17,1625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,12,43,0.27906976744186046,0.0,20230508130115,18,1725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,15,35,0.42857142857142855,0.0,20230508130115,19,1825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,11,25,0.44,0.0,20230508130115,20,1925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,13,21,0.6190476190476191,0.0,20230508130115,21,2025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,8,15,0.5333333333333333,0.0,20230508130115,22,2125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,12,14,0.8571428571428571,0.0,20230508130115,23,2225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,19,0.10526315789473684,0.0,20230508130115,24,2325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,7,6,1.1666666666666667,0.0,20230508130115,25,2425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,7,0.2857142857142857,0.0,20230508130115,26,2525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,8,0.5,0.0,20230508130115,27,2625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,3,9,0.3333333333333333,0.0,20230508130115,28,2725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,6,5,1.2,0.0,20230508130115,29,2825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,2,2.0,0.0,20230508130115,30,2925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,6,0.16666666666666666,0.0,20230508130115,31,3025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,3,0.3333333333333333,0.0,20230508130115,32,3125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,2,1.0,0.0,20230508130115,33,3225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,2,5,0.4,0.0,20230508130115,34,3325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,4,0.25,0.0,20230508130115,35,3425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,5,nan,nan,20230508130115,36,3525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,1,1.0,0.0,20230508130115,37,3625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130115,38,3725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130115,39,3825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130115,40,3925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,2,nan,nan,20230508130115,41,4025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,4,nan,nan,20230508130115,42,4125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130115,43,4225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,3,nan,nan,20230508130115,44,4325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,2,0.5,0.0,20230508130115,45,4425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,2,nan,nan,20230508130115,46,4525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130115,47,4625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130115,48,4725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,2,nan,nan,20230508130115,49,4825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130115,50,4925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130115,51,5025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130115,52,5125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130115,53,5225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130115,54,5325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130115,55,5425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130116,56,5525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,1,nan,nan,20230508130116,57,5625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,1,0,0.0,0.0,20230508130116,58,5725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,59,5825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,60,5925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,61,6025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,62,6125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,63,6225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,50,<function cw at 0x00000118626F1120>,"(0, 1, 0)",2,nan,nan,circular,0.64,0,0,nan,nan,20230508130116,64,6325
