molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,14320,35341,59617,0.4052379021109205,0.004790958849062751,20230508133922,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,8760,22292,37855,0.39296576040330305,0.0011203442363573284,20230508133922,2,125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,6230,15249,26659,0.4085583805991342,0.006347625475738871,20230508133922,3,225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,4232,10530,18641,0.40206829237060643,0.010299715254721144,20230508133922,4,325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,2932,7260,13241,0.4037962628559974,0.010533165780254233,20230508133922,5,425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,1937,4928,9344,0.3930760947702261,0.011709600257236897,20230508133922,6,525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,1359,3575,6886,0.3801065405980249,0.019321504722786632,20230508133922,7,625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,1048,2517,5094,0.41635673173342247,0.0037163443896477914,20230508133922,8,725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,721,1767,3708,0.40805689989599325,0.010971921480562946,20230508133922,9,825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,542,1309,2893,0.4147285754516336,0.016627296266635037,20230508133922,10,925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,376,942,2193,0.39861702836934204,0.03426476191493394,20230508133922,11,1025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,271,691,1641,0.39371682716755657,0.0310697064515338,20230508133922,12,1125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,203,485,1253,0.4183640516998301,0.06904341104897353,20230508133922,13,1225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,153,359,974,0.42607130982417024,0.026676827257819162,20230508133922,14,1325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,112,298,789,0.37239713940744873,0.08463621986277634,20230508133922,15,1425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,85,183,644,0.46876848106356306,0.06610307972616336,20230508133922,16,1525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,67,148,525,0.4642108415693322,0.11189822024473318,20230508133922,17,1625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,53,138,457,0.38720538720538716,0.09279133858263078,20230508133922,18,1725
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,38,104,381,0.36875913346501576,0.06982819628160386,20230508133922,19,1825
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,40,83,298,0.4853944853944854,0.12371401291809542,20230508133922,20,1925
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,30,63,246,0.5027272727272727,0.1817833299930466,20230508133922,21,2025
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,27,57,234,0.4838509316770187,0.20119686117806565,20230508133922,22,2125
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,16,50,204,0.31607142857142856,0.0263657554647025,20230508133922,23,2225
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,20,37,186,0.5234848484848484,0.09316025865394618,20230508133922,24,2325
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,15,32,150,0.5023809523809524,0.17596510682763694,20230508133922,25,2425
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,30,139,0.15912698412698412,0.09262452208355437,20230508133922,26,2525
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,4,24,112,0.2875,0.0875,20230508133922,27,2625
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,20000000.0,227451.30811990102,72400.0,5000000.0,5000.0,3,<function cw at 0x0000025EEAE91000>,"(0, 1, 0)",2,nan,nan,circular,0.64,8,24,104,0.48148148148148145,0.3777051491550211,20230508133922,28,2725
