molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.01,2229,5014,9256,0.44458092454975234,0.008196356442063672,7728.7130590931265,81.63381490166796,20230508150113,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.02,2280,5361,9781,0.42588644211187776,0.022064875697570607,4060.8976621574443,48.083392621311255,20230508150704,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.04,2266,5314,9651,0.4264461526146013,0.013991426191669997,2092.7229572894234,47.56035755068862,20230508151011,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.08,2231,5442,9873,0.40998338125703043,0.008462440744959355,995.1794424352438,43.658463343238026,20230508151209,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.16,2160,5511,9774,0.3922103042360668,0.01983335826530359,496.75297698958144,41.793525994148,20230508151318,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.32,2122,5486,9733,0.3870837347714997,0.011629207828482898,228.37804067151833,0.8633669897148377,20230508151421,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,0.64,2200,5481,9830,0.4013412288915936,0.007730790576269609,126.17854018302029,0.08338709288068015,20230508151521,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,1.28,2123,5495,9755,0.3862996129535061,0.020200141422306625,29.184272277427056,0.21425600716322946,20230508151536,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,2.56,2174,5503,9779,0.3951839185308721,0.008610441509571335,27.12654536121615,0.019769310509991048,20230508151546,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,5.12,2224,5382,9715,0.4134285033534792,0.007895628521898436,26.61941622401167,0.033482438757947805,20230508151551,1,25
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function cw at 0x0000024088411240>,"(0, 1, 0)",2,nan,nan,circular,10.24,2173,5423,9661,0.4007671570550073,0.007984314367242954,26.488385684592235,0.06349281511028824,20230508151554,1,25
