molecule,num_molecules,rotational_diffusion_time_ns,rotational_diffusion_time_ns_unpied,collection_time_point_ns,collection_time_point_us,repetitions,excitation_scheme,singlet_polarization,singlet_intensity,crescent_polarization,crescent_intensity,trigger_polarization,trigger_intensity,num_x,num_y,total_num,ratio_xy_mean,ratio_xy_std,calculated_lifetime_mean,calculated_lifetime_std,datetime,trigger_number,collection_start_time,phosphorescence_lifetime
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,2568,4526,9621,0.567532070640314,0.023776938298150224,,,20230508150804,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,2803,4287,9826,0.6547133965420354,0.033501187749254174,,,20230508150815,1,0,20000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,2951,3757,9780,0.7855543800116461,0.008500097680489802,,,20230508150831,1,0,40000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,3020,3548,9647,0.8526465087320361,0.05147116503150988,,,20230508150841,1,0,80000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,3095,3399,9583,0.9113576553559217,0.05810152356628433,,,20230508150850,1,0,160000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,3078,3284,9679,0.937051305331507,0.04303819934394126,,,20230508150903,1,0,320000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,3188,3280,9595,0.9720173490040859,0.0094846572021058,,,20230508150921,1,0,640000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,44478.668789524294,14158.000000000002,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,3211,3094,9361,1.0387361895191747,0.038512035032863774,,,20230508150941,1,0,1280000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,2204,5133,9502,0.4294027406063621,0.005011816779475982,,,20230508150956,1,0,10000.0
<class 'rotational_diffusion.src.variables.molecule_properties.mScarlet'>,1000000.0,355826.2087235407,113262.99999999999,5000000.0,5000.0,3,<function capture_phosphorescence_decay at 0x000002120C820F70>,"(0, 1, 0)",2,nan,nan,nan,nan,2388,5129,9799,0.4654850467703892,0.009040106838880776,,,20230508150959,1,0,20000.0
